Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1hGy2eLcmC8eKx7qr1tOqx,"Beautiful Girls","Beautiful Girls","Sean Kingston",2007-07-23,225373,81,false,dalootrobber2121,2022-05-23T11:36:16Z,"","Epic",0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,4
spotify:track:3GCL1PydwsLodcpv0Ll1ch,"You Belong With Me","Fearless","Taylor Swift",2008-11-11,231133,67,false,dalootrobber2121,2022-05-23T11:36:43Z,"","Taylor Swift",0.687,0.783,6,-4.44,1,0.0386,0.162,0.0000135,0.114,0.443,129.964,4
spotify:track:75vEuMA15pb8JmgrGugHEs,"Eenie Meenie","My World 2.0","Justin Bieber;Sean Kingston",2010-01-01,202626,1,false,dalootrobber2121,2022-05-23T11:37:28Z,"","RBMG/Def Jam",0.718,0.588,1,-4.192,1,0.0318,0.0525,0,0.0991,0.812,121.22,4
spotify:track:0uXO2GrNiIb1xHT9LUdxZE,"Sexy Bitch (feat. Akon)","One Love (Deluxe)","David Guetta;Akon",2009-08-21,195853,70,true,dalootrobber2121,2022-05-23T11:37:34Z,"edm","Parlophone (France)",0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,4
spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y,"Club Can't Handle Me (feat. David Guetta)","Only One Flo (Part 1)","Flo Rida;David Guetta",2010-11-24,234560,82,false,dalootrobber2121,2022-05-23T11:37:47Z,"edm","Poe Boy/Atlantic",0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.966,4
spotify:track:3bC1ahPIYt1btJzSSEyyrF,"Whistle","Wild Ones","Flo Rida",2012-06-22,224653,79,false,dalootrobber2121,2022-05-23T11:37:52Z,"","Poe Boy/Atlantic",0.747,0.937,0,-5.746,1,0.0453,0.0208,0,0.29,0.739,103.976,4
spotify:track:2V4bv1fNWfTcyRJKmej6Sj,"Cooler Than Me - Single Mix","31 Minutes to Takeoff","Mike Posner;Gigamesh",2010-08-09,213293,79,false,dalootrobber2121,2022-05-23T11:37:59Z,"nu disco,french house,indie dance","J Records",0.768,0.82,7,-4.63,0,0.0474,0.179,0,0.689,0.625,129.965,4
spotify:track:6OtCIsQZ64Vs1EbzztvAv4,"Good Life","Waking Up","OneRepublic",2009-01-01,253306,75,true,dalootrobber2121,2022-05-23T11:38:35Z,"soft pop","Mosley / Interscope",0.634,0.69,6,-7.804,1,0.052,0.0771,0,0.132,0.645,94.988,4
spotify:track:3AGOgQzp0YcPH41u9p7dOp,"Glad You Came","The Wanted (Special Edition)","The Wanted",2012-01-01,198186,60,false,dalootrobber2121,2022-05-23T11:38:56Z,"","Universal-Island Records Ltd.",0.61,0.841,7,-4.579,0,0.0692,0.056,0.00000985,0.118,0.431,126.889,4
spotify:track:06iMqWThw4w8fTFyccvOwr,"Ride Wit Me","Country Grammar","Nelly;City Spud",2000-06-27,291781,1,true,dalootrobber2121,2022-05-23T11:39:09Z,"country hip hop","Universal/Island Def Jam",0.854,0.692,7,-6.625,1,0.0479,0.0668,0,0.247,0.753,101.865,4
spotify:track:62zFEHfAYl5kdHYOivj4BC,"International Love (feat. Chris Brown)","Planet Pit (Deluxe Version)","Pitbull;Chris Brown",2011-06-17,227280,82,false,dalootrobber2121,2022-05-23T11:39:48Z,"r&b","Mr.305/Polo Grounds Music/J Records",0.67,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.05,4
spotify:track:3cHyrEgdyYRjgJKSOiOtcS,"Timber","Global Warming: Meltdown (Deluxe Version)","Pitbull;Kesha",2012,204134,85,false,dalootrobber2121,2022-05-23T11:39:54Z,"","Mr.305/Polo Grounds Music/RCA Records",0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,4
spotify:track:6mnjcTmK8TewHfyOp3fC9C,"Die Young","Warrior (Deluxe Version)","Kesha",2012-11-30,211920,2,false,dalootrobber2121,2022-05-23T11:39:57Z,"","Kemosabe Records/RCA Records",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,"Wild Ones (feat. Sia)","Wild Ones","Flo Rida;Sia",2012-06-22,232946,82,false,dalootrobber2121,2022-05-23T11:40:05Z,"","Poe Boy/Atlantic",0.608,0.86,5,-5.324,0,0.0554,0.0991,0,0.262,0.437,127.075,4
spotify:track:7gDKfEMIhyyO4asgEXwcrs,"Fire Burning","Fire Burning","Sean Kingston",2009-04-30,243133,50,false,dalootrobber2121,2022-05-23T11:40:12Z,"","Epic/Beluga Heights",0.835,0.805,1,-2.545,1,0.033,0.0166,0,0.345,0.891,122.98,4
spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,"Break Your Heart","Rokstarr","Taio Cruz;Ludacris",2010-01-01,186266,70,false,dalootrobber2121,2022-05-23T11:40:25Z,"southern hip hop","Universal-Island Records Ltd.",0.666,0.899,8,-4.676,1,0.0281,0.00156,0,0.0678,0.616,122.049,4
spotify:track:5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg;Wiz Khalifa;Bruno Mars",2011-10-11,207333,75,true,dalootrobber2121,2022-05-23T11:40:38Z,"g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap","Rostrum/Atlantic",0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,4
spotify:track:7LP4Es66zdY7CyjepqmvAg,"Down","All Or Nothing","Jay Sean;Lil Wayne",2009-01-01,212106,3,false,dalootrobber2121,2022-05-23T11:40:49Z,"rap,hip hop","Cash Money",0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,4
spotify:track:7AEAGTc8cReDqcbPoY9gwo,"We Are Never Ever Getting Back Together","Red","Taylor Swift",2012-10-22,191880,67,false,dalootrobber2121,2022-05-23T11:40:57Z,"","Taylor Swift",0.628,0.676,7,-5.911,1,0.0916,0.00957,0.0000265,0.102,0.75,85.984,4
spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,"Good Feeling","Wild Ones","Flo Rida",2012-06-22,248133,81,false,dalootrobber2121,2022-05-23T11:41:07Z,"","Poe Boy/Atlantic",0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,4
spotify:track:4haj5xs3smcDcGRkdPrKQu,"Drive By","Greatest Hits","Train",2018-11-09,196106,34,false,dalootrobber2121,2022-05-23T11:41:17Z,"soft pop","Columbia",0.765,0.808,1,-4.414,0,0.0319,0.00127,0.0000115,0.0835,0.768,122.038,4
spotify:track:7rGMKCgeYXpBecQ1FPb3oc,"Without You (feat. Usher)","Nothing but the Beat","David Guetta;USHER",2011-08-31,208133,46,false,dalootrobber2121,2022-05-23T11:41:31Z,"edm,r&b","Parlophone (France)",0.608,0.614,2,-3.727,1,0.0285,0.227,0.00000382,0.157,0.402,127.885,4
spotify:track:6sy3LkhNFjJWlaeSMNwQ62,"Counting Stars","Native","OneRepublic",2014-01-01,257840,73,false,dalootrobber2121,2022-05-23T11:41:46Z,"soft pop","Mosley / Interscope",0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.115,0.474,122.013,4
spotify:track:3zu2CuVTJwaZn2m4rBzaUO,"Don't You Worry Child","Don't You Worry Child","Swedish House Mafia;John Martin",2012-09-14,403493,46,false,dalootrobber2121,2022-05-23T11:42:12Z,"edm","Pophouse Entertainment Group",0.632,0.88,2,-4.051,1,0.0463,0.0144,0.0021,0.118,0.338,129.007,4
spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,"Best Song Ever","Midnight Memories (Deluxe)","One Direction",2013-11-25,200111,77,false,dalootrobber2121,2022-05-23T11:42:24Z,"","Syco Music",0.652,0.877,1,-2.986,1,0.0465,0.0227,0,0.0789,0.486,118.491,4
