Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2uZWffKoemZDI0gHcBEcDc,"On & On","On & On","Cartoon;Jéja;Daniel Levi",2015-07-09,207068,53,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"","NCS",0.457,0.694,11,-4.741,1,0.039,0.296,0,0.123,0.425,174.119,4
spotify:track:5fOjFkFA0k5MTOo1LmnVTO,"Heroes Tonight","Heroes Tonight","Janji;Johnning",2015-06-09,208139,46,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"","NCS",0.537,0.786,8,-4.331,1,0.0317,0.075,0,0.253,0.178,127.994,3
spotify:track:5KcKUpTEHMfcoAps9d5BvY,"Invincible","Invincible","Deaf Kev",2015-05-14,279600,34,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"","NCS",0.56,0.97,5,-2.858,0,0.051,0.000154,0.718,0.0763,0.269,100.09,4
spotify:track:1X7eCHIaD83s2r5i95ZXUC,"My Heart","My Heart","Different Heaven;EH!DE",2014-11-13,266900,37,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"dubstep,riddim,deathstep","NCS",0.516,0.786,10,-5.264,1,0.0412,0.000276,0.00369,0.305,0.164,174.035,4
spotify:track:11uvudmvZBzG2ztQsOB5sF,"Mortals","Mortals","Warriyo",2016-12-15,228340,46,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"","NCS",0.319,0.657,2,-6.124,1,0.0477,0.0242,0.0758,0.157,0.0814,90.009,4
spotify:track:7ucAyhKPjKsLrP14q4mcyo,"Blank","Blank","Disfigure",2013-05-01,208901,38,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"","NCS",0.618,0.643,11,-5.194,0,0.0329,0.00154,0.00000138,0.158,0.453,140.017,4
spotify:track:61k7xAKMsuvTf2j2YnieSi,"Sky High","Sky High","Elektronomia",2016-12-28,236254,40,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"","NCS",0.592,0.956,0,-2.068,0,0.044,0.105,0.00289,0.344,0.193,128.084,4
spotify:track:2wmQfaHp4zbqQkbf5nu5SF,"Why We Lose","Why We Lose","Cartoon;Jéja;Coleman Trapp",2015-06-11,197485,42,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"","NCS",0.424,0.919,4,-3.175,0,0.0428,0.00119,0.00994,0.329,0.102,174.982,4
spotify:track:2RQWB4Asy1rjZL4IUcJ7kn,"Symbolism","Symbolism","Electro-Light",2014-11-27,293300,30,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"","NCS",0.555,0.782,4,-7.967,1,0.0469,0.171,0.806,0.0703,0.419,169.966,4
spotify:track:4y1nvncvBhdoelqPMyXxis,"Fearless Pt. II","Fearless Pt. II","Lost Sky;Chris Linton",2017-12-23,194181,45,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:05Z,"","NCS",0.731,0.928,6,-4.28,1,0.0514,0.285,0.00121,0.119,0.326,109.997,4
