Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2BJSMvOGABRxokHKB0OI8i,"Shoota (feat. Lil Uzi Vert)","Die Lit","Playboi Carti;Lil Uzi Vert",2018-05-11,153800,76,true,dalootrobber2121,2022-06-13T22:14:38Z,"rage rap,melodic rap","AWGE Label",0.673,0.649,1,-8.433,0,0.196,0.188,0,0.122,0.47,153.075,4
spotify:track:29TPjc8wxfz4XMn21O7VsZ,"Sky","Whole Lotta Red","Playboi Carti",2020-12-25,193234,80,true,dalootrobber2121,2022-06-13T22:14:42Z,"rage rap","AWGE/Interscope Records",0.785,0.903,2,-4.184,1,0.21,0.258,0,0.169,0.565,139.98,4
spotify:track:1s9DTymg5UQrdorZf43JQm,"Fell In Luv (feat. Bryson Tiller)","Die Lit","Playboi Carti;Bryson Tiller",2018-05-11,206333,74,true,dalootrobber2121,2022-06-13T22:14:47Z,"rage rap,trap soul,r&b","AWGE Label",0.657,0.668,2,-6.208,1,0.136,0.0273,0,0.32,0.227,162.997,4
spotify:track:1e1JKLEDKP7hEQzJfNAgPl,"Magnolia","Playboi Carti","Playboi Carti",2017-04-14,181812,78,true,dalootrobber2121,2022-06-13T22:14:50Z,"rage rap","AWGE Label",0.791,0.582,11,-7.323,0,0.286,0.0114,0,0.35,0.443,162.991,4
spotify:track:1hE8iI3YK9x1VUBDtSzg3x,"Demon Time (feat. Ski Mask The Slump God)","Trip At Knight (Complete Edition)","Trippie Redd;Ski Mask The Slump God",2021-08-21,159452,0,true,dalootrobber2121,2022-06-13T22:15:08Z,"melodic rap","1400 Entertainment, Inc. / 10K Projects",0.718,0.684,11,-5.16,0,0.248,0.0182,0,0.233,0.856,146.084,4
spotify:track:02rdXe0KhMe8p6ZHzYtuw0,"lost souls (with Brent Faiyaz)","The Melodic Blue","Baby Keem;Brent Faiyaz",2021-09-22,269727,2,true,dalootrobber2121,2022-06-13T22:15:17Z,"r&b","Columbia",0.649,0.347,1,-7.67,0,0.404,0.485,0.0000324,0.154,0.176,169.994,4
spotify:track:2ajzBr7vwHTEBeqDzcsNRC,"That Way - Bonus Track","Eternal Atake","Lil Uzi Vert",2020-03-06,212354,60,true,dalootrobber2121,2022-06-13T22:15:40Z,"melodic rap","Generation Now/Atlantic",0.712,0.598,7,-5.368,0,0.0388,0.0546,0,0.154,0.504,130.007,4
spotify:track:7FITP8MVBwdQcbNAr0aVio,"Count Me Out","We Love You Tecca","Lil Tecca",2019-08-30,174093,53,true,dalootrobber2121,2022-06-13T22:15:48Z,"melodic rap,rap","Republic Records",0.836,0.653,4,-6.623,0,0.293,0.406,0,0.12,0.686,101.954,4
spotify:track:2d8JP84HNLKhmd6IYOoupQ,"Trap Queen","Fetty Wap (Deluxe)","Fetty Wap",2015-09-25,222093,84,true,dalootrobber2121,2022-06-13T22:15:58Z,"","300 Entertainment/RGF Productions",0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.817,148.075,4
spotify:track:59fFsGRwFiuhxKDPc1k6xW,"Opp Stoppa (feat. 21 Savage)","Opp Stoppa (feat. 21 Savage)","YBN Nahmir;21 Savage",2021-01-22,135430,54,true,dalootrobber2121,2022-06-13T22:16:03Z,"","Art@War/Atlantic Records",0.829,0.343,2,-4.937,0,0.102,0.00734,0,0.179,0.312,78.035,4
spotify:track:792HwhrdO3ErRKL5yRe4Ge,"Invincible","Meet The Woo 2","Pop Smoke",2020-02-07,127546,65,true,dalootrobber2121,2022-06-13T22:16:07Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.548,0.732,11,-5.652,0,0.336,0.125,0,0.269,0.612,142.791,4
spotify:track:2eAZfqOm4EnOF9VvN50Tyc,"The Way Life Goes (feat. Oh Wonder)","Luv Is Rage 2","Lil Uzi Vert;Oh Wonder",2017-08-25,221746,79,true,dalootrobber2121,2022-06-13T22:16:10Z,"melodic rap","Generation Now/Atlantic",0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,4
spotify:track:5uv7zxcC3zgWCe1NS1cpVr,"556","Bawskee 4","Comethazine",2020-10-23,147200,41,true,dalootrobber2121,2022-06-13T22:16:23Z,"","Alamo",0.866,0.512,8,-10.709,0,0.478,0.272,0,0.0706,0.729,150.004,4
spotify:track:5uQOauh47VFt3B2kV9kRXw,"My Shit","Artist","A Boogie Wit da Hoodie",2016-09-16,128156,78,true,dalootrobber2121,2022-06-13T22:16:26Z,"melodic rap","Highbridge The Label",0.812,0.621,5,-8.3,1,0.0515,0.244,0,0.099,0.847,77.998,4
spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Knife Talk (with 21 Savage ft. Project Pat)","Certified Lover Boy","Drake;21 Savage;Project Pat",2021-09-03,242965,75,true,dalootrobber2121,2022-06-13T22:16:45Z,"rap,southern hip hop,crunk,gangster rap","OVO",0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,4
spotify:track:56uXDJRCuoS7abX3SkzHKQ,"Myron","Eternal Atake (Deluxe) - LUV vs. The World 2","Lil Uzi Vert",2020-03-13,224954,69,true,dalootrobber2121,2022-06-13T22:16:58Z,"melodic rap","Generation Now/Atlantic",0.771,0.654,8,-6.976,0,0.298,0.055,0,0.214,0.573,155.047,4
spotify:track:1JGaV39uhSQd2eAteOxFlF,"Bleed It","Dirt Bag","Blueface",2019-08-09,145546,59,true,dalootrobber2121,2022-06-13T22:17:05Z,"","Cash Money Records Inc.",0.845,0.76,1,-6.008,0,0.362,0.209,0,0.105,0.516,101.91,4
spotify:track:6klLvorLoo1sxvZcjJIY8I,"Make No Sense","AI YoungBoy 2","YoungBoy Never Broke Again",2019-10-11,148629,78,true,dalootrobber2121,2022-06-13T22:17:12Z,"","Never Broke Again, LLC",0.876,0.733,10,-4.478,0,0.333,0.0208,0,0.0999,0.962,154.904,4
spotify:track:4p55EkzkGnWmLYDiNXc14t,"Bands","Bawskee","Comethazine",2018-08-24,98734,53,true,dalootrobber2121,2022-06-13T22:17:19Z,"","Alamo",0.831,0.456,10,-10.778,1,0.585,0.213,0,0.0669,0.535,158.006,4
spotify:track:71FLahKdwoes8yaNGRTCEJ,"Pray 4OR","DON'T SLEEP","Sleepy Hallow;Sheff G",2019-10-31,179173,50,true,dalootrobber2121,2022-06-13T22:17:22Z,"brooklyn drill,new york drill,drill","Winners Circle Entertainment Inc / EMPIRE",0.943,0.547,4,-6.582,1,0.307,0.521,0,0.121,0.721,129.996,4
spotify:track:5hTpBe8h35rJ67eAWHQsJx,"Caroline","Good For You","Aminé",2017-07-28,209640,69,true,dalootrobber2121,2022-06-13T22:17:37Z,"","Universal Records",0.94,0.335,5,-10.179,0,0.505,0.17,0,0.262,0.707,120.04,4
spotify:track:0uxSUdBrJy9Un0EYoBowng,"20 Min","Luv Is Rage 2 (Deluxe)","Lil Uzi Vert",2017-11-17,220586,85,true,dalootrobber2121,2022-06-13T22:17:47Z,"melodic rap","Generation Now/Atlantic",0.773,0.75,8,-4.009,0,0.117,0.109,0,0.174,0.783,123.426,4
spotify:track:7D7e6hm2LiNd6nLuJF6K9Q,"Hex","Hex","80purppp",2018-03-12,122221,5,false,dalootrobber2121,2022-06-13T22:17:51Z,"","Violet High, LLC. under exclusive license to Amuseio AB",0.845,0.398,5,-15.781,1,0.268,0.872,0.00713,0.159,0.482,109.996,4
spotify:track:3P9P3Lq1IGsyhmNrnank0v,"SOLVED THE PROBLEM","BAWSKEE 3.5","Comethazine",2019-07-26,117073,0,true,dalootrobber2121,2022-06-13T22:18:04Z,"","Alamo Records",0.935,0.699,10,-10.394,0,0.25,0.00278,0.0000152,0.101,0.683,98.44,4
spotify:track:3F5CgOj3wFlRv51JsHbxhe,"Jimmy Cooks (feat. 21 Savage)","Honestly, Nevermind","Drake;21 Savage",2022-06-17,218364,81,true,dalootrobber2121,2022-06-18T17:19:11Z,"rap","OVO",0.529,0.673,0,-4.711,1,0.175,0.000307,0.00000241,0.093,0.366,165.921,4
spotify:track:5FkoSXiJPKTNyYgALRJFhD,"ORANGE SODA","DIE FOR MY BITCH","Baby Keem",2019-07-19,129882,76,true,dalootrobber2121,2022-06-21T13:16:54Z,"","Baby Keem LLC",0.83,0.564,1,-7.822,1,0.235,0.177,0,0.128,0.107,85.042,4
spotify:track:1W24W6jQegnNh0x5DfBBPT,"The Grinch","A Love Letter To You 4","Trippie Redd",2019-11-22,91288,2,true,dalootrobber2121,2022-06-21T13:58:44Z,"melodic rap","TenThousand Projects, LLC",0.676,0.503,8,-6.115,1,0.0971,0.135,0.0000636,0.0981,0.196,162.879,4
spotify:track:4apiNNK0jp9uqn3JDG9My1,"Dark Knight Dummo","LIFE'S A TRIP","Trippie Redd;Travis Scott",2018-08-10,256161,1,true,dalootrobber2121,2022-06-21T13:59:00Z,"melodic rap,rap","TenThousand Projects, LLC",0.28,0.822,8,-2.864,0,0.112,0.165,0,0.139,0.255,181.434,3
spotify:track:4Li2WHPkuyCdtmokzW2007,"Ni**as In Paris","Watch The Throne (Deluxe)","JAŸ-Z;Kanye West",2011-08-08,219333,13,true,dalootrobber2121,2022-06-21T14:03:30Z,"hip hop,east coast hip hop,rap","Roc Nation/RocAFella/IDJ",0.789,0.858,1,-5.542,1,0.311,0.129,0,0.349,0.776,140.022,4
spotify:track:4EWCNWgDS8707fNSZ1oaA5,"Heartless","808s & Heartbreak","Kanye West",2008-11-24,211000,86,false,dalootrobber2121,2022-06-21T14:07:39Z,"rap","Roc-A-Fella",0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,4
spotify:track:7nc7mlSdWYeFom84zZ8Wr8,"Tell Em","Tell Em","Cochise;$NOT",2021-05-28,180379,70,true,dalootrobber2121,2022-06-21T14:12:00Z,"rage rap","Columbia",0.672,0.717,5,-7.476,1,0.226,0.103,0,0.398,0.473,157.905,4
spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,"Gold Digger","Late Registration","Kanye West;Jamie Foxx",2005-08-30,207626,80,true,dalootrobber2121,2022-06-21T14:17:19Z,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
